video_id,dataset,label,target,group_id,camera,path,split,split_strategy,frame_dir,fps,frame_count,duration_seconds,sample_fps,sampling_interval_seconds,sampled_frame_count,total_frames_read
fall_01_cam0,urfd_videos,fall,1,urfd::fall-01,cam0,data/raw/urfd_videos/fall/fall-01/cam0/fall-01-cam0.mp4,train,,data/processed/frames/train/fall/fall_01_cam0,30.0000,160,5.3333,3.00,0.3333,16,160
fall_01_cam1,urfd_videos,fall,1,urfd::fall-01,cam1,data/raw/urfd_videos/fall/fall-01/cam1/fall-01-cam1.mp4,train,,data/processed/frames/train/fall/fall_01_cam1,30.0000,160,5.3333,3.00,0.3333,16,160
fall_02_cam0,urfd_videos,fall,1,urfd::fall-02,cam0,data/raw/urfd_videos/fall/fall-02/cam0/fall-02-cam0.mp4,train,,data/processed/frames/train/fall/fall_02_cam0,30.0000,110,3.6667,3.00,0.3333,11,110
fall_02_cam1,urfd_videos,fall,1,urfd::fall-02,cam1,data/raw/urfd_videos/fall/fall-02/cam1/fall-02-cam1.mp4,train,,data/processed/frames/train/fall/fall_02_cam1,30.0000,110,3.6667,3.00,0.3333,11,110
fall_03_cam0,urfd_videos,fall,1,urfd::fall-03,cam0,data/raw/urfd_videos/fall/fall-03/cam0/fall-03-cam0.mp4,train,,data/processed/frames/train/fall/fall_03_cam0,30.0000,215,7.1667,3.00,0.3333,22,215
fall_03_cam1,urfd_videos,fall,1,urfd::fall-03,cam1,data/raw/urfd_videos/fall/fall-03/cam1/fall-03-cam1.mp4,train,,data/processed/frames/train/fall/fall_03_cam1,30.0000,215,7.1667,3.00,0.3333,22,215
fall_06_cam0,urfd_videos,fall,1,urfd::fall-06,cam0,data/raw/urfd_videos/fall/fall-06/cam0/fall-06-cam0.mp4,train,,data/processed/frames/train/fall/fall_06_cam0,30.0000,100,3.3333,3.00,0.3333,10,100
fall_06_cam1,urfd_videos,fall,1,urfd::fall-06,cam1,data/raw/urfd_videos/fall/fall-06/cam1/fall-06-cam1.mp4,train,,data/processed/frames/train/fall/fall_06_cam1,30.0000,100,3.3333,3.00,0.3333,10,100
fall_07_cam0,urfd_videos,fall,1,urfd::fall-07,cam0,data/raw/urfd_videos/fall/fall-07/cam0/fall-07-cam0.mp4,train,,data/processed/frames/train/fall/fall_07_cam0,30.0000,156,5.2000,3.00,0.3333,16,156
fall_07_cam1,urfd_videos,fall,1,urfd::fall-07,cam1,data/raw/urfd_videos/fall/fall-07/cam1/fall-07-cam1.mp4,train,,data/processed/frames/train/fall/fall_07_cam1,30.0000,156,5.2000,3.00,0.3333,16,156
fall_08_cam0,urfd_videos,fall,1,urfd::fall-08,cam0,data/raw/urfd_videos/fall/fall-08/cam0/fall-08-cam0.mp4,train,,data/processed/frames/train/fall/fall_08_cam0,30.0000,91,3.0333,3.00,0.3333,10,91
fall_08_cam1,urfd_videos,fall,1,urfd::fall-08,cam1,data/raw/urfd_videos/fall/fall-08/cam1/fall-08-cam1.mp4,train,,data/processed/frames/train/fall/fall_08_cam1,30.0000,91,3.0333,3.00,0.3333,10,91
fall_09_cam0,urfd_videos,fall,1,urfd::fall-09,cam0,data/raw/urfd_videos/fall/fall-09/cam0/fall-09-cam0.mp4,train,,data/processed/frames/train/fall/fall_09_cam0,30.0000,185,6.1667,3.00,0.3333,19,185
fall_09_cam1,urfd_videos,fall,1,urfd::fall-09,cam1,data/raw/urfd_videos/fall/fall-09/cam1/fall-09-cam1.mp4,train,,data/processed/frames/train/fall/fall_09_cam1,30.0000,185,6.1667,3.00,0.3333,19,185
fall_10_cam0,urfd_videos,fall,1,urfd::fall-10,cam0,data/raw/urfd_videos/fall/fall-10/cam0/fall-10-cam0.mp4,train,,data/processed/frames/train/fall/fall_10_cam0,30.0000,130,4.3333,3.00,0.3333,13,130
fall_10_cam1,urfd_videos,fall,1,urfd::fall-10,cam1,data/raw/urfd_videos/fall/fall-10/cam1/fall-10-cam1.mp4,train,,data/processed/frames/train/fall/fall_10_cam1,30.0000,130,4.3333,3.00,0.3333,13,130
fall_11_cam0,urfd_videos,fall,1,urfd::fall-11,cam0,data/raw/urfd_videos/fall/fall-11/cam0/fall-11-cam0.mp4,train,,data/processed/frames/train/fall/fall_11_cam0,30.0000,130,4.3333,3.00,0.3333,13,130
fall_11_cam1,urfd_videos,fall,1,urfd::fall-11,cam1,data/raw/urfd_videos/fall/fall-11/cam1/fall-11-cam1.mp4,train,,data/processed/frames/train/fall/fall_11_cam1,30.0000,130,4.3333,3.00,0.3333,13,130
fall_13_cam0,urfd_videos,fall,1,urfd::fall-13,cam0,data/raw/urfd_videos/fall/fall-13/cam0/fall-13-cam0.mp4,train,,data/processed/frames/train/fall/fall_13_cam0,30.0000,85,2.8333,3.00,0.3333,9,85
fall_13_cam1,urfd_videos,fall,1,urfd::fall-13,cam1,data/raw/urfd_videos/fall/fall-13/cam1/fall-13-cam1.mp4,train,,data/processed/frames/train/fall/fall_13_cam1,30.0000,85,2.8333,3.00,0.3333,9,85
fall_16_cam0,urfd_videos,fall,1,urfd::fall-16,cam0,data/raw/urfd_videos/fall/fall-16/cam0/fall-16-cam0.mp4,train,,data/processed/frames/train/fall/fall_16_cam0,30.0000,55,1.8333,3.00,0.3333,6,55
fall_16_cam1,urfd_videos,fall,1,urfd::fall-16,cam1,data/raw/urfd_videos/fall/fall-16/cam1/fall-16-cam1.mp4,train,,data/processed/frames/train/fall/fall_16_cam1,30.0000,55,1.8333,3.00,0.3333,6,55
fall_17_cam0,urfd_videos,fall,1,urfd::fall-17,cam0,data/raw/urfd_videos/fall/fall-17/cam0/fall-17-cam0.mp4,train,,data/processed/frames/train/fall/fall_17_cam0,30.0000,95,3.1667,3.00,0.3333,10,95
fall_17_cam1,urfd_videos,fall,1,urfd::fall-17,cam1,data/raw/urfd_videos/fall/fall-17/cam1/fall-17-cam1.mp4,train,,data/processed/frames/train/fall/fall_17_cam1,30.0000,95,3.1667,3.00,0.3333,10,95
fall_19_cam0,urfd_videos,fall,1,urfd::fall-19,cam0,data/raw/urfd_videos/fall/fall-19/cam0/fall-19-cam0.mp4,train,,data/processed/frames/train/fall/fall_19_cam0,30.0000,100,3.3333,3.00,0.3333,10,100
fall_19_cam1,urfd_videos,fall,1,urfd::fall-19,cam1,data/raw/urfd_videos/fall/fall-19/cam1/fall-19-cam1.mp4,train,,data/processed/frames/train/fall/fall_19_cam1,30.0000,100,3.3333,3.00,0.3333,10,100
fall_20_cam0,urfd_videos,fall,1,urfd::fall-20,cam0,data/raw/urfd_videos/fall/fall-20/cam0/fall-20-cam0.mp4,train,,data/processed/frames/train/fall/fall_20_cam0,30.0000,110,3.6667,3.00,0.3333,11,110
fall_20_cam1,urfd_videos,fall,1,urfd::fall-20,cam1,data/raw/urfd_videos/fall/fall-20/cam1/fall-20-cam1.mp4,train,,data/processed/frames/train/fall/fall_20_cam1,30.0000,110,3.6667,3.00,0.3333,11,110
fall_21_cam0,urfd_videos,fall,1,urfd::fall-21,cam0,data/raw/urfd_videos/fall/fall-21/cam0/fall-21-cam0.mp4,train,,data/processed/frames/train/fall/fall_21_cam0,30.0000,55,1.8333,3.00,0.3333,6,55
fall_21_cam1,urfd_videos,fall,1,urfd::fall-21,cam1,data/raw/urfd_videos/fall/fall-21/cam1/fall-21-cam1.mp4,train,,data/processed/frames/train/fall/fall_21_cam1,30.0000,55,1.8333,3.00,0.3333,6,55
fall_22_cam0,urfd_videos,fall,1,urfd::fall-22,cam0,data/raw/urfd_videos/fall/fall-22/cam0/fall-22-cam0.mp4,train,,data/processed/frames/train/fall/fall_22_cam0,30.0000,56,1.8667,3.00,0.3333,6,56
fall_22_cam1,urfd_videos,fall,1,urfd::fall-22,cam1,data/raw/urfd_videos/fall/fall-22/cam1/fall-22-cam1.mp4,train,,data/processed/frames/train/fall/fall_22_cam1,30.0000,56,1.8667,3.00,0.3333,6,56
fall_23_cam0,urfd_videos,fall,1,urfd::fall-23,cam0,data/raw/urfd_videos/fall/fall-23/cam0/fall-23-cam0.mp4,train,,data/processed/frames/train/fall/fall_23_cam0,30.0000,75,2.5000,3.00,0.3333,8,75
fall_23_cam1,urfd_videos,fall,1,urfd::fall-23,cam1,data/raw/urfd_videos/fall/fall-23/cam1/fall-23-cam1.mp4,train,,data/processed/frames/train/fall/fall_23_cam1,30.0000,75,2.5000,3.00,0.3333,8,75
fall_24_cam0,urfd_videos,fall,1,urfd::fall-24,cam0,data/raw/urfd_videos/fall/fall-24/cam0/fall-24-cam0.mp4,train,,data/processed/frames/train/fall/fall_24_cam0,30.0000,60,2.0000,3.00,0.3333,6,60
fall_24_cam1,urfd_videos,fall,1,urfd::fall-24,cam1,data/raw/urfd_videos/fall/fall-24/cam1/fall-24-cam1.mp4,train,,data/processed/frames/train/fall/fall_24_cam1,30.0000,60,2.0000,3.00,0.3333,6,60
fall_25_cam0,urfd_videos,fall,1,urfd::fall-25,cam0,data/raw/urfd_videos/fall/fall-25/cam0/fall-25-cam0.mp4,train,,data/processed/frames/train/fall/fall_25_cam0,30.0000,85,2.8333,3.00,0.3333,9,85
fall_25_cam1,urfd_videos,fall,1,urfd::fall-25,cam1,data/raw/urfd_videos/fall/fall-25/cam1/fall-25-cam1.mp4,train,,data/processed/frames/train/fall/fall_25_cam1,30.0000,85,2.8333,3.00,0.3333,9,85
fall_27_cam0,urfd_videos,fall,1,urfd::fall-27,cam0,data/raw/urfd_videos/fall/fall-27/cam0/fall-27-cam0.mp4,train,,data/processed/frames/train/fall/fall_27_cam0,30.0000,92,3.0667,3.00,0.3333,10,92
fall_27_cam1,urfd_videos,fall,1,urfd::fall-27,cam1,data/raw/urfd_videos/fall/fall-27/cam1/fall-27-cam1.mp4,train,,data/processed/frames/train/fall/fall_27_cam1,30.0000,92,3.0667,3.00,0.3333,10,92
adl_01_cam0,urfd_videos,no_fall,0,urfd::adl-01,cam0,data/raw/urfd_videos/No fall/adl-01/cam0/adl-01-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_01_cam0,30.0000,150,5.0000,3.00,0.3333,15,150
adl_02_cam0,urfd_videos,no_fall,0,urfd::adl-02,cam0,data/raw/urfd_videos/No fall/adl-02/cam0/adl-02-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_02_cam0,30.0000,180,6.0000,3.00,0.3333,18,180
adl_03_cam0,urfd_videos,no_fall,0,urfd::adl-03,cam0,data/raw/urfd_videos/No fall/adl-03/cam0/adl-03-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_03_cam0,30.0000,180,6.0000,3.00,0.3333,18,180
adl_04_cam0,urfd_videos,no_fall,0,urfd::adl-04,cam0,data/raw/urfd_videos/No fall/adl-04/cam0/adl-04-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_04_cam0,30.0000,150,5.0000,3.00,0.3333,15,150
adl_05_cam0,urfd_videos,no_fall,0,urfd::adl-05,cam0,data/raw/urfd_videos/No fall/adl-05/cam0/adl-05-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_05_cam0,30.0000,180,6.0000,3.00,0.3333,18,180
adl_06_cam0,urfd_videos,no_fall,0,urfd::adl-06,cam0,data/raw/urfd_videos/No fall/adl-06/cam0/adl-06-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_06_cam0,30.0000,230,7.6667,3.00,0.3333,23,230
adl_08_cam0,urfd_videos,no_fall,0,urfd::adl-08,cam0,data/raw/urfd_videos/No fall/adl-08/cam0/adl-08-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_08_cam0,30.0000,180,6.0000,3.00,0.3333,18,180
adl_09_cam0,urfd_videos,no_fall,0,urfd::adl-09,cam0,data/raw/urfd_videos/No fall/adl-09/cam0/adl-09-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_09_cam0,30.0000,150,5.0000,3.00,0.3333,15,150
adl_10_cam0,urfd_videos,no_fall,0,urfd::adl-10,cam0,data/raw/urfd_videos/No fall/adl-10/cam0/adl-10-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_10_cam0,30.0000,300,10.0000,3.00,0.3333,30,300
adl_11_cam0,urfd_videos,no_fall,0,urfd::adl-11,cam0,data/raw/urfd_videos/No fall/adl-11/cam0/adl-11-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_11_cam0,30.0000,300,10.0000,3.00,0.3333,30,300
adl_13_cam0,urfd_videos,no_fall,0,urfd::adl-13,cam0,data/raw/urfd_videos/No fall/adl-13/cam0/adl-13-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_13_cam0,30.0000,265,8.8333,3.00,0.3333,27,265
adl_14_cam0,urfd_videos,no_fall,0,urfd::adl-14,cam0,data/raw/urfd_videos/No fall/adl-14/cam0/adl-14-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_14_cam0,30.0000,235,7.8333,3.00,0.3333,24,235
adl_16_cam0,urfd_videos,no_fall,0,urfd::adl-16,cam0,data/raw/urfd_videos/No fall/adl-16/cam0/adl-16-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_16_cam0,30.0000,240,8.0000,3.00,0.3333,24,240
adl_17_cam0,urfd_videos,no_fall,0,urfd::adl-17,cam0,data/raw/urfd_videos/No fall/adl-17/cam0/adl-17-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_17_cam0,30.0000,230,7.6667,3.00,0.3333,23,230
adl_22_cam0,urfd_videos,no_fall,0,urfd::adl-22,cam0,data/raw/urfd_videos/No fall/adl-22/cam0/adl-22-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_22_cam0,30.0000,240,8.0000,3.00,0.3333,24,240
adl_23_cam0,urfd_videos,no_fall,0,urfd::adl-23,cam0,data/raw/urfd_videos/No fall/adl-23/cam0/adl-23-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_23_cam0,30.0000,220,7.3333,3.00,0.3333,22,220
adl_24_cam0,urfd_videos,no_fall,0,urfd::adl-24,cam0,data/raw/urfd_videos/No fall/adl-24/cam0/adl-24-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_24_cam0,30.0000,70,2.3333,3.00,0.3333,7,70
adl_25_cam0,urfd_videos,no_fall,0,urfd::adl-25,cam0,data/raw/urfd_videos/No fall/adl-25/cam0/adl-25-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_25_cam0,30.0000,110,3.6667,3.00,0.3333,11,110
adl_26_cam0,urfd_videos,no_fall,0,urfd::adl-26,cam0,data/raw/urfd_videos/No fall/adl-26/cam0/adl-26-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_26_cam0,30.0000,95,3.1667,3.00,0.3333,10,95
adl_27_cam0,urfd_videos,no_fall,0,urfd::adl-27,cam0,data/raw/urfd_videos/No fall/adl-27/cam0/adl-27-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_27_cam0,30.0000,100,3.3333,3.00,0.3333,10,100
adl_30_cam0,urfd_videos,no_fall,0,urfd::adl-30,cam0,data/raw/urfd_videos/No fall/adl-30/cam0/adl-30-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_30_cam0,30.0000,400,13.3333,3.00,0.3333,40,400
adl_31_cam0,urfd_videos,no_fall,0,urfd::adl-31,cam0,data/raw/urfd_videos/No fall/adl-31/cam0/adl-31-cam0.mp4,train,,data/processed/frames/train/no_fall/adl_31_cam0,30.0000,250,8.3333,3.00,0.3333,25,250
