window_id,video_id,label,split,window_path
gmncsa24_gmncsa_fall_068_w0019,gmncsa24_gmncsa_fall_068,fall,train,/Users/varunreddyseelam/Desktop/Gen_ai/final_pipeline/data/windows/train/fall/gmncsa24_gmncsa_fall_068/gmncsa24_gmncsa_fall_068_w0019.json
gmncsa24_gmncsa_fall_068_w0023,gmncsa24_gmncsa_fall_068,fall,train,/Users/varunreddyseelam/Desktop/Gen_ai/final_pipeline/data/windows/train/fall/gmncsa24_gmncsa_fall_068/gmncsa24_gmncsa_fall_068_w0023.json
gmncsa24_gmncsa_fall_068_w0015,gmncsa24_gmncsa_fall_068,fall,train,/Users/varunreddyseelam/Desktop/Gen_ai/final_pipeline/data/windows/train/fall/gmncsa24_gmncsa_fall_068/gmncsa24_gmncsa_fall_068_w0015.json
gmncsa24_gmncsa_fall_068_w0003,gmncsa24_gmncsa_fall_068,fall,train,/Users/varunreddyseelam/Desktop/Gen_ai/final_pipeline/data/windows/train/fall/gmncsa24_gmncsa_fall_068/gmncsa24_gmncsa_fall_068_w0003.json
gmncsa24_gmncsa_fall_068_w0002,gmncsa24_gmncsa_fall_068,fall,train,/Users/varunreddyseelam/Desktop/Gen_ai/final_pipeline/data/windows/train/fall/gmncsa24_gmncsa_fall_068/gmncsa24_gmncsa_fall_068_w0002.json
gmncsa24_gmncsa_fall_068_w0014,gmncsa24_gmncsa_fall_068,fall,train,/Users/varunreddyseelam/Desktop/Gen_ai/final_pipeline/data/windows/train/fall/gmncsa24_gmncsa_fall_068/gmncsa24_gmncsa_fall_068_w0014.json
gmncsa24_gmncsa_fall_068_w0034,gmncsa24_gmncsa_fall_068,fall,train,/Users/varunreddyseelam/Desktop/Gen_ai/final_pipeline/data/windows/train/fall/gmncsa24_gmncsa_fall_068/gmncsa24_gmncsa_fall_068_w0034.json
gmncsa24_gmncsa_fall_068_w0022,gmncsa24_gmncsa_fall_068,fall,train,/Users/varunreddyseelam/Desktop/Gen_ai/final_pipeline/data/windows/train/fall/gmncsa24_gmncsa_fall_068/gmncsa24_gmncsa_fall_068_w0022.json
gmncsa24_gmncsa_fall_068_w0018,gmncsa24_gmncsa_fall_068,fall,train,/Users/varunreddyseelam/Desktop/Gen_ai/final_pipeline/data/windows/train/fall/gmncsa24_gmncsa_fall_068/gmncsa24_gmncsa_fall_068_w0018.json
gmncsa24_gmncsa_fall_068_w0013,gmncsa24_gmncsa_fall_068,fall,train,/Users/varunreddyseelam/Desktop/Gen_ai/final_pipeline/data/windows/train/fall/gmncsa24_gmncsa_fall_068/gmncsa24_gmncsa_fall_068_w0013.json
gmncsa24_gmncsa_fall_068_w0005,gmncsa24_gmncsa_fall_068,fall,train,/Users/varunreddyseelam/Desktop/Gen_ai/final_pipeline/data/windows/train/fall/gmncsa24_gmncsa_fall_068/gmncsa24_gmncsa_fall_068_w0005.json
