video_id,split,label,frame_dir,pose_json,frame_count,pose_frame_count
fall_01_cam0,train,fall,data/processed/frames/train/fall/fall_01_cam0,data/processed/poses/train/fall/fall_01_cam0.json,16,3
fall_01_cam1,train,fall,data/processed/frames/train/fall/fall_01_cam1,data/processed/poses/train/fall/fall_01_cam1.json,16,16
fall_02_cam0,train,fall,data/processed/frames/train/fall/fall_02_cam0,data/processed/poses/train/fall/fall_02_cam0.json,11,11
fall_02_cam1,train,fall,data/processed/frames/train/fall/fall_02_cam1,data/processed/poses/train/fall/fall_02_cam1.json,11,8
fall_03_cam0,train,fall,data/processed/frames/train/fall/fall_03_cam0,data/processed/poses/train/fall/fall_03_cam0.json,22,16
fall_03_cam1,train,fall,data/processed/frames/train/fall/fall_03_cam1,data/processed/poses/train/fall/fall_03_cam1.json,22,16
fall_06_cam0,train,fall,data/processed/frames/train/fall/fall_06_cam0,data/processed/poses/train/fall/fall_06_cam0.json,10,10
fall_06_cam1,train,fall,data/processed/frames/train/fall/fall_06_cam1,data/processed/poses/train/fall/fall_06_cam1.json,10,8
fall_07_cam0,train,fall,data/processed/frames/train/fall/fall_07_cam0,data/processed/poses/train/fall/fall_07_cam0.json,16,15
fall_07_cam1,train,fall,data/processed/frames/train/fall/fall_07_cam1,data/processed/poses/train/fall/fall_07_cam1.json,16,11
fall_08_cam0,train,fall,data/processed/frames/train/fall/fall_08_cam0,data/processed/poses/train/fall/fall_08_cam0.json,10,10
fall_08_cam1,train,fall,data/processed/frames/train/fall/fall_08_cam1,data/processed/poses/train/fall/fall_08_cam1.json,10,6
fall_09_cam0,train,fall,data/processed/frames/train/fall/fall_09_cam0,data/processed/poses/train/fall/fall_09_cam0.json,19,15
fall_09_cam1,train,fall,data/processed/frames/train/fall/fall_09_cam1,data/processed/poses/train/fall/fall_09_cam1.json,19,11
fall_10_cam0,train,fall,data/processed/frames/train/fall/fall_10_cam0,data/processed/poses/train/fall/fall_10_cam0.json,13,7
fall_10_cam1,train,fall,data/processed/frames/train/fall/fall_10_cam1,data/processed/poses/train/fall/fall_10_cam1.json,13,9
fall_11_cam0,train,fall,data/processed/frames/train/fall/fall_11_cam0,data/processed/poses/train/fall/fall_11_cam0.json,13,12
fall_11_cam1,train,fall,data/processed/frames/train/fall/fall_11_cam1,data/processed/poses/train/fall/fall_11_cam1.json,13,11
fall_13_cam0,train,fall,data/processed/frames/train/fall/fall_13_cam0,data/processed/poses/train/fall/fall_13_cam0.json,9,7
fall_13_cam1,train,fall,data/processed/frames/train/fall/fall_13_cam1,data/processed/poses/train/fall/fall_13_cam1.json,9,5
fall_16_cam0,train,fall,data/processed/frames/train/fall/fall_16_cam0,data/processed/poses/train/fall/fall_16_cam0.json,6,6
fall_16_cam1,train,fall,data/processed/frames/train/fall/fall_16_cam1,data/processed/poses/train/fall/fall_16_cam1.json,6,6
fall_17_cam0,train,fall,data/processed/frames/train/fall/fall_17_cam0,data/processed/poses/train/fall/fall_17_cam0.json,10,8
fall_17_cam1,train,fall,data/processed/frames/train/fall/fall_17_cam1,data/processed/poses/train/fall/fall_17_cam1.json,10,8
fall_19_cam0,train,fall,data/processed/frames/train/fall/fall_19_cam0,data/processed/poses/train/fall/fall_19_cam0.json,10,9
fall_19_cam1,train,fall,data/processed/frames/train/fall/fall_19_cam1,data/processed/poses/train/fall/fall_19_cam1.json,10,9
fall_20_cam0,train,fall,data/processed/frames/train/fall/fall_20_cam0,data/processed/poses/train/fall/fall_20_cam0.json,11,11
fall_20_cam1,train,fall,data/processed/frames/train/fall/fall_20_cam1,data/processed/poses/train/fall/fall_20_cam1.json,11,8
fall_21_cam0,train,fall,data/processed/frames/train/fall/fall_21_cam0,data/processed/poses/train/fall/fall_21_cam0.json,6,6
fall_21_cam1,train,fall,data/processed/frames/train/fall/fall_21_cam1,data/processed/poses/train/fall/fall_21_cam1.json,6,4
fall_22_cam0,train,fall,data/processed/frames/train/fall/fall_22_cam0,data/processed/poses/train/fall/fall_22_cam0.json,6,5
fall_22_cam1,train,fall,data/processed/frames/train/fall/fall_22_cam1,data/processed/poses/train/fall/fall_22_cam1.json,6,5
fall_23_cam0,train,fall,data/processed/frames/train/fall/fall_23_cam0,data/processed/poses/train/fall/fall_23_cam0.json,8,4
fall_23_cam1,train,fall,data/processed/frames/train/fall/fall_23_cam1,data/processed/poses/train/fall/fall_23_cam1.json,8,8
fall_24_cam0,train,fall,data/processed/frames/train/fall/fall_24_cam0,data/processed/poses/train/fall/fall_24_cam0.json,6,5
fall_24_cam1,train,fall,data/processed/frames/train/fall/fall_24_cam1,data/processed/poses/train/fall/fall_24_cam1.json,6,6
fall_25_cam0,train,fall,data/processed/frames/train/fall/fall_25_cam0,data/processed/poses/train/fall/fall_25_cam0.json,9,4
fall_25_cam1,train,fall,data/processed/frames/train/fall/fall_25_cam1,data/processed/poses/train/fall/fall_25_cam1.json,9,9
fall_27_cam0,train,fall,data/processed/frames/train/fall/fall_27_cam0,data/processed/poses/train/fall/fall_27_cam0.json,10,6
fall_27_cam1,train,fall,data/processed/frames/train/fall/fall_27_cam1,data/processed/poses/train/fall/fall_27_cam1.json,10,9
voxel_01-2,train,fall,data/processed/frames/train/fall/voxel_01-2,data/processed/poses/train/fall/voxel_01-2.json,20,20
voxel_01-6,train,fall,data/processed/frames/train/fall/voxel_01-6,data/processed/poses/train/fall/voxel_01-6.json,14,10
voxel_01-8,train,fall,data/processed/frames/train/fall/voxel_01-8,data/processed/poses/train/fall/voxel_01-8.json,21,13
voxel_02-2,train,fall,data/processed/frames/train/fall/voxel_02-2,data/processed/poses/train/fall/voxel_02-2.json,26,19
voxel_02-8,train,fall,data/processed/frames/train/fall/voxel_02-8,data/processed/poses/train/fall/voxel_02-8.json,20,10
voxel_03-2,train,fall,data/processed/frames/train/fall/voxel_03-2,data/processed/poses/train/fall/voxel_03-2.json,22,19
voxel_03-4,train,fall,data/processed/frames/train/fall/voxel_03-4,data/processed/poses/train/fall/voxel_03-4.json,17,17
voxel_03-6,train,fall,data/processed/frames/train/fall/voxel_03-6,data/processed/poses/train/fall/voxel_03-6.json,21,9
voxel_03-8,train,fall,data/processed/frames/train/fall/voxel_03-8,data/processed/poses/train/fall/voxel_03-8.json,18,18
voxel_04-2,train,fall,data/processed/frames/train/fall/voxel_04-2,data/processed/poses/train/fall/voxel_04-2.json,31,31
voxel_04-4,train,fall,data/processed/frames/train/fall/voxel_04-4,data/processed/poses/train/fall/voxel_04-4.json,17,17
voxel_04-6,train,fall,data/processed/frames/train/fall/voxel_04-6,data/processed/poses/train/fall/voxel_04-6.json,15,12
voxel_04-8,train,fall,data/processed/frames/train/fall/voxel_04-8,data/processed/poses/train/fall/voxel_04-8.json,15,15
voxel_05-2,train,fall,data/processed/frames/train/fall/voxel_05-2,data/processed/poses/train/fall/voxel_05-2.json,14,14
voxel_05-4,train,fall,data/processed/frames/train/fall/voxel_05-4,data/processed/poses/train/fall/voxel_05-4.json,31,30
voxel_05-6,train,fall,data/processed/frames/train/fall/voxel_05-6,data/processed/poses/train/fall/voxel_05-6.json,23,23
voxel_05-8,train,fall,data/processed/frames/train/fall/voxel_05-8,data/processed/poses/train/fall/voxel_05-8.json,18,18
voxel_06,train,fall,data/processed/frames/train/fall/voxel_06,data/processed/poses/train/fall/voxel_06.json,20,20
voxel_06-3,train,fall,data/processed/frames/train/fall/voxel_06-3,data/processed/poses/train/fall/voxel_06-3.json,17,17
voxel_06-5,train,fall,data/processed/frames/train/fall/voxel_06-5,data/processed/poses/train/fall/voxel_06-5.json,19,18
voxel_06-7,train,fall,data/processed/frames/train/fall/voxel_06-7,data/processed/poses/train/fall/voxel_06-7.json,17,17
voxel_07-4,train,fall,data/processed/frames/train/fall/voxel_07-4,data/processed/poses/train/fall/voxel_07-4.json,27,27
voxel_07-6,train,fall,data/processed/frames/train/fall/voxel_07-6,data/processed/poses/train/fall/voxel_07-6.json,19,19
voxel_08-2,train,fall,data/processed/frames/train/fall/voxel_08-2,data/processed/poses/train/fall/voxel_08-2.json,19,19
voxel_08-4,train,fall,data/processed/frames/train/fall/voxel_08-4,data/processed/poses/train/fall/voxel_08-4.json,19,18
voxel_08-6,train,fall,data/processed/frames/train/fall/voxel_08-6,data/processed/poses/train/fall/voxel_08-6.json,19,17
voxel_08-8,train,fall,data/processed/frames/train/fall/voxel_08-8,data/processed/poses/train/fall/voxel_08-8.json,13,13
voxel_09-2,train,fall,data/processed/frames/train/fall/voxel_09-2,data/processed/poses/train/fall/voxel_09-2.json,17,12
voxel_09-4,train,fall,data/processed/frames/train/fall/voxel_09-4,data/processed/poses/train/fall/voxel_09-4.json,19,19
voxel_09-8,train,fall,data/processed/frames/train/fall/voxel_09-8,data/processed/poses/train/fall/voxel_09-8.json,14,12
voxel_10-2,train,fall,data/processed/frames/train/fall/voxel_10-2,data/processed/poses/train/fall/voxel_10-2.json,34,27
voxel_10-4,train,fall,data/processed/frames/train/fall/voxel_10-4,data/processed/poses/train/fall/voxel_10-4.json,14,13
voxel_10-6,train,fall,data/processed/frames/train/fall/voxel_10-6,data/processed/poses/train/fall/voxel_10-6.json,16,10
voxel_11-2,train,fall,data/processed/frames/train/fall/voxel_11-2,data/processed/poses/train/fall/voxel_11-2.json,32,22
voxel_11-6,train,fall,data/processed/frames/train/fall/voxel_11-6,data/processed/poses/train/fall/voxel_11-6.json,14,12
voxel_11-8,train,fall,data/processed/frames/train/fall/voxel_11-8,data/processed/poses/train/fall/voxel_11-8.json,19,19
voxel_12-2,train,fall,data/processed/frames/train/fall/voxel_12-2,data/processed/poses/train/fall/voxel_12-2.json,37,27
voxel_12-6,train,fall,data/processed/frames/train/fall/voxel_12-6,data/processed/poses/train/fall/voxel_12-6.json,14,8
voxel_13-2,train,fall,data/processed/frames/train/fall/voxel_13-2,data/processed/poses/train/fall/voxel_13-2.json,27,18
